Date;Sector;Percent change from baseline
2021-01-25;workplaces;-59
2021-01-26;grocery and pharmacy;-26
2021-01-29;parks;22
2021-01-30;transit stations;-74
2021-01-30;workplaces;-34
2021-01-30;residential;16
2021-02-05;retail and recreation;-68
2021-02-09;retail and recreation;-65
2021-02-09;transit stations;-74
2021-02-09;residential;24
2021-02-11;grocery and pharmacy;-20
2021-02-11;residential;25
2021-02-12;transit stations;-72
2021-02-12;workplaces;-55
2021-02-13;grocery and pharmacy;-17
2021-02-14;grocery and pharmacy;-24
2021-02-14;workplaces;-32
2021-02-15;transit stations;-71
2021-02-16;residential;24
2021-02-20;transit stations;-74
2021-02-22;retail and recreation;-61
2021-02-24;grocery and pharmacy;-18
2021-02-26;transit stations;-66
2021-02-28;parks;143
2021-03-02;grocery and pharmacy;-15
2021-03-07;parks;108
2021-03-09;parks;87
2021-03-10;parks;-17
2021-03-11;retail and recreation;-63
2021-03-11;residential;22
2021-03-12;transit stations;-65
2021-03-13;retail and recreation;-68
2021-03-13;workplaces;-26
2021-03-15;retail and recreation;-57
2021-03-15;parks;92
2021-03-15;workplaces;-52
2021-03-15;residential;19
2021-03-16;retail and recreation;-54
2021-03-16;parks;120
2021-03-19;retail and recreation;-61
2021-03-20;retail and recreation;-67
2021-03-20;transit stations;-67
2021-03-21;transit stations;-52
2021-03-22;retail and recreation;-55
2021-03-22;residential;19
2021-03-24;retail and recreation;-57
2021-04-01;transit stations;-60
2021-04-02;transit stations;-68
2021-04-04;workplaces;-22
2021-04-05;retail and recreation;-60
2021-04-05;transit stations;-74
2021-04-06;residential;19
2021-04-07;transit stations;-66
2021-04-11;parks;96
2021-04-13;grocery and pharmacy;-5
2021-04-13;workplaces;-54
2021-04-16;retail and recreation;-39
2021-04-18;workplaces;-13
2021-04-19;workplaces;-47
2021-04-21;retail and recreation;-36
2021-04-21;parks;78
2021-04-21;workplaces;-45
2021-04-21;residential;14
2021-04-22;retail and recreation;-33
2021-04-22;parks;147
2021-04-24;parks;143
2021-04-28;parks;2
2021-04-30;parks;71
2021-05-01;grocery and pharmacy;-3
2021-05-01;parks;62
2021-05-02;parks;121
2021-05-02;transit stations;-39
2021-05-04;workplaces;-45
2021-05-05;grocery and pharmacy;-5
2021-05-07;workplaces;-41
2021-05-07;residential;12
2021-05-08;grocery and pharmacy;-8
2021-05-09;retail and recreation;-39
2021-05-09;parks;88
2021-05-10;transit stations;-53
2021-05-10;residential;14
2021-05-13;transit stations;-54
2021-05-14;residential;13
2021-05-15;transit stations;-48
2021-05-19;parks;70
2021-05-20;retail and recreation;-32
2021-05-21;transit stations;-46
2021-05-21;workplaces;-42
2021-05-23;transit stations;-40
2021-05-26;transit stations;-48
2021-05-27;retail and recreation;-20
2021-05-27;transit stations;-44
2021-05-28;residential;9
2021-05-31;transit stations;-49
2021-05-31;workplaces;-77
2021-06-03;transit stations;-47
2021-06-05;transit stations;-33
2021-06-05;residential;0
2021-06-06;grocery and pharmacy;0
2021-06-09;residential;11
2021-06-10;grocery and pharmacy;5
2021-06-11;retail and recreation;-26
2021-06-11;parks;77
2021-06-14;grocery and pharmacy;1
2021-06-14;parks;125
2021-06-15;retail and recreation;-19
2021-06-15;transit stations;-44
2021-06-17;transit stations;-47
2021-06-18;transit stations;-41
2021-06-19;retail and recreation;-35
2021-06-21;retail and recreation;-27
2021-06-21;parks;56
2021-06-23;retail and recreation;-24
2021-06-25;transit stations;-40
