,Fuel Type,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km]
5228,Petrol,0.0,0.0,0.0,35.83783783783784
5229,Petrol,0.0,0.0,0.0,35.83783783783784
5230,Petrol,0.0,0.0,0.0,35.83783783783784
5231,Petrol,0.0,0.0,0.0,35.83783783783784
5232,Petrol,0.0,0.0,0.0,35.83783783783784
5233,Petrol,0.0,0.0,0.0,35.83783783783784
5234,Petrol,0.0,0.0,0.0,35.83783783783784
5235,Petrol,0.0,0.0,0.0,35.83783783783784
5236,Petrol,0.0,0.0,0.0,35.83783783783784
5237,Petrol,0.0,0.0,0.0,35.83783783783784
5238,Petrol,0.0,0.0,0.0,35.83783783783784
5239,Petrol,0.0,0.0,0.0,35.83783783783784
5240,Petrol,0.0,0.0,0.0,35.83783783783784
5241,Petrol,0.0,0.0,0.0,35.83783783783784
5242,Petrol,0.0,0.0,0.0,35.83783783783784
5243,Petrol,0.0,0.0,0.0,35.83783783783784
5244,Diesel,0.0,0.0,0.0,0.0
5245,Diesel,0.0,0.0,0.0,0.0
5246,Petrol,0.0,0.0,0.0,35.83783783783784
5247,Petrol,0.0,0.0,0.0,35.83783783783784
5248,Diesel,0.0,0.0,0.0,0.0
5249,Diesel,0.0,0.0,0.0,0.0
5250,Petrol,0.0,0.0,0.0,35.83783783783784
5251,Petrol,0.0,0.0,0.0,35.83783783783784
5252,Diesel,0.0,0.0,0.0,0.0
5253,Diesel,0.0,0.0,0.0,0.0
5254,Petrol,0.0,0.0,0.0,35.83783783783784
5255,Petrol,0.0,0.0,0.0,35.83783783783784
5256,Diesel,0.0,0.0,0.0,0.0
5257,Petrol,0.0,0.0,0.0,35.83783783783784
5258,Petrol,0.0,0.0,0.0,35.83783783783784
5259,Diesel,0.0,0.0,0.0,0.0
5260,Petrol,0.0,0.0,0.0,35.83783783783784
5261,Petrol,0.0,0.0,0.0,35.83783783783784
5262,Diesel,0.0,0.0,0.0,0.0
5263,Petrol,0.0,0.0,0.0,35.83783783783784
5264,Petrol,0.0,0.0,0.0,35.83783783783784
5265,Diesel,0.0,0.0,0.0,0.0
5266,Diesel,0.0,0.0,0.0,0.0
5267,Petrol,0.0,0.0,0.0,35.83783783783784
5268,Petrol,0.0,0.0,0.0,35.83783783783784
5269,Diesel,0.0,0.0,0.0,0.0
5270,Petrol,0.0,0.0,0.0,35.83783783783784
5271,Petrol,0.0,0.0,0.0,35.83783783783784
5272,Diesel,0.0,0.0,0.0,0.0
5273,Diesel,0.0,0.0,0.0,0.0
5274,Petrol,0.0,0.0,0.0,35.83783783783784
5275,Petrol,0.0,0.0,0.0,35.83783783783784
5276,Diesel,0.0,0.0,0.0,0.0
5277,Petrol,0.0,0.0,0.0,35.83783783783784
5278,Petrol,0.0,0.0,0.0,35.83783783783784
5279,Petrol,0.0,0.0,0.0,35.83783783783784
5280,Petrol,0.0,0.0,0.0,35.83783783783784
5281,Petrol,0.0,0.0,0.0,35.83783783783784
5282,Petrol,0.0,0.0,0.0,35.83783783783784
5283,Petrol,0.0,0.0,0.0,35.83783783783784
5284,Petrol,0.0,0.0,0.0,35.83783783783784
5285,Petrol,0.0,0.0,0.0,35.83783783783784
5286,Petrol,0.0,0.0,0.0,35.83783783783784
5287,Petrol,0.0,0.0,0.0,35.83783783783784
5288,Petrol,0.0,0.0,0.0,35.83783783783784
5289,Petrol,0.0,0.0,0.0,35.83783783783784
5290,Petrol,0.0,0.0,0.0,35.83783783783784
5291,Petrol,0.0,0.0,0.0,35.83783783783784
5292,Petrol,0.0,0.0,0.0,35.83783783783784
5293,Petrol,0.0,0.0,0.0,35.83783783783784
5294,Petrol,0.0,0.0,0.0,35.83783783783784
5295,Petrol,0.0,0.0,0.0,35.83783783783784
5296,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5297,Petrol,0.0,0.0,0.0,35.83783783783784
5298,Diesel,0.0,0.0,0.0,0.0
5299,Petrol,0.0,0.0,0.0,35.83783783783784
5300,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5301,Petrol,0.0,0.0,0.0,35.83783783783784
5302,Diesel,0.0,0.0,0.0,0.0
5303,Petrol,0.0,0.0,0.0,35.83783783783784
5304,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5305,Petrol,0.0,0.0,0.0,35.83783783783784
5306,Petrol,0.0,0.0,0.0,35.83783783783784
5307,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5308,Petrol,0.0,0.0,0.0,35.83783783783784
5309,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5310,Petrol,0.0,0.0,0.0,35.83783783783784
5311,Petrol,0.0,0.0,0.0,35.83783783783784
5312,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5313,Petrol,0.0,0.0,0.0,35.83783783783784
5314,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5315,Petrol,0.0,0.0,0.0,35.83783783783784
5316,Petrol,0.0,0.0,0.0,35.83783783783784
5317,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5318,Petrol,0.0,0.0,0.0,35.83783783783784
5319,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5320,Petrol,0.0,0.0,0.0,35.83783783783784
5321,Petrol,0.0,0.0,0.0,35.83783783783784
5322,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5323,Petrol,0.0,0.0,0.0,35.83783783783784
5324,Petrol,0.0,0.0,0.0,35.83783783783784
5325,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5326,Petrol,0.0,0.0,0.0,35.83783783783784
5327,Diesel,0.0,0.0,0.0,0.0
5328,Petrol,0.0,0.0,0.0,35.83783783783784
5329,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5330,Petrol,0.0,0.0,0.0,35.83783783783784
5331,Diesel,0.0,0.0,0.0,0.0
5332,Petrol,0.0,0.0,0.0,35.83783783783784
5333,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5334,Petrol,0.0,0.0,0.0,35.83783783783784
5335,Petrol,0.0,0.0,0.0,35.83783783783784
5336,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5337,Petrol,0.0,0.0,0.0,35.83783783783784
5338,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5339,Petrol,0.0,0.0,0.0,35.83783783783784
5340,Petrol,0.0,0.0,0.0,35.83783783783784
5341,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5342,Petrol,0.0,0.0,0.0,35.83783783783784
5343,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5344,Petrol,0.0,0.0,0.0,35.83783783783784
5345,Petrol,0.0,0.0,0.0,35.83783783783784
5346,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5347,Petrol,0.0,0.0,0.0,35.83783783783784
5348,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5349,Petrol,0.0,0.0,0.0,35.83783783783784
5350,Petrol,0.0,0.0,0.0,35.83783783783784
5351,Petrol Electric,0.0,0.0,0.0,35.83783783783784
5352,Petrol,0.0,0.0,0.0,35.83783783783784
5353,Electricity,0.0,15.353407290015848,15.177588466579293,35.83783783783784
5354,Electricity,0.0,15.353407290015848,15.177588466579293,35.83783783783784
5355,Electricity,0.0,15.353407290015848,15.177588466579293,35.83783783783784
5356,Electricity,0.0,15.353407290015848,15.177588466579293,35.83783783783784
5357,Electricity,0.0,15.353407290015848,15.177588466579293,35.83783783783784
5358,Electricity,0.0,15.353407290015848,15.177588466579293,35.83783783783784
5359,Diesel,61.0,15.353407290015848,36.0,104.0
5360,Diesel,21.0,15.353407290015848,25.0,77.0
5361,Diesel,23.0,15.353407290015848,27.0,85.0
5362,Diesel,32.0,15.353407290015848,45.0,104.0
5363,Petrol,349.0,16.0,8.0,24.0
5364,Petrol,438.0,18.0,23.0,42.0
5365,Petrol,233.0,17.0,23.0,39.0
5366,Petrol Electric,164.0,10.0,17.0,26.0
5367,Petrol,515.0,42.0,34.0,75.0
5368,Petrol,290.0,15.0,14.0,30.0
5369,Petrol,429.0,23.0,19.0,41.0
5370,Petrol,429.0,23.0,19.0,41.0
5371,Petrol,482.0,42.0,31.0,72.0
5372,Petrol Electric,107.0,9.0,16.0,25.0
5373,Electricity / Petrol,126.0,13.0,4.0,35.83783783783784
5374,Petrol Electric,307.0,39.0,12.0,35.83783783783784
5375,Petrol Electric,307.0,39.0,12.0,35.83783783783784
5376,Petrol Electric,229.0,40.0,8.0,35.83783783783784
5377,Petrol Electric,307.0,39.0,12.0,35.83783783783784
5378,Petrol Electric,229.0,40.0,8.0,35.83783783783784
5379,Petrol Electric,427.0,49.0,10.0,35.83783783783784
5380,Petrol Electric,351.0,30.0,15.0,35.83783783783784
5381,Petrol Electric,351.0,30.0,15.0,35.83783783783784
5382,Petrol Electric,385.0,34.0,21.0,35.83783783783784
5383,Petrol Electric,336.0,32.0,19.0,35.83783783783784
5384,Petrol Electric,351.0,30.0,15.0,35.83783783783784
5385,Petrol Electric,313.0,34.0,17.0,35.83783783783784
5386,Petrol Electric,101.0,15.0,2.0,35.83783783783784
5387,Petrol Electric,101.0,15.0,2.0,35.83783783783784
5388,Petrol Electric,295.0,42.0,11.0,35.83783783783784
5389,Petrol Electric,295.0,42.0,11.0,35.83783783783784
5390,Petrol Electric,249.0,45.0,8.0,35.83783783783784
5391,Petrol Electric,295.0,42.0,11.0,35.83783783783784
